Number,Done,Text ID,Transliteration ID,,,First round,Second round
A001189,,,,,,,
A001190,,,,,,,
A001191,,,,,,,
A001192,,,,,,,
A001193,,,,,,,
A001194,,,,,,,
A001195,,,,,,,
A001196,,,,,,,
A001197,,,,,,,
A001198,,,,,,,
A001199,,,,,,,
A001200,,,,,,,
A001201,,,,,,,
A001202,,,,,,,
A001203,,,,,,,
A001204,,,,,,,
A001205,,,,,,,
A001206,,,,,,,
A001207,,,,,,,
A001208,,,,,,,
A001209,,,,,,,
A001210,,,,,,,
A001211,,,,,,,
A001212,,,,,,,
A001213,,,,,,,
A001214,,,,,,,
A001215,,,,,,,
A001216,,,,,,,
A001217,,,,,,,
A001218,,,,,,,
A001219,,,,,,,
A001220,,,,,,,
A001221,,,,,,,
A001222,,,,,,,
A001223,,,,,,,
A001224,,,,,,,
A001225,,,,,,,
A001226,,,,,,,
A001227,,,,,,,
A001228,,,,,,,
A001229,,,,,,,
A001230,,,,,,,
A001231,,,,,,,
A001232,,,,,,,
A001233,,,,,,,
A001234,,,,,,,
A001235,,,,,,,
A001236,,,,,,,
A001237,,,,,,,
A001238,,,,,,,
A001239,,,,,,,
A001240,,,,,,,
A001241,,,,,,,
A001242,,,,,,,
A001243,,,,,,,
A001244,,,,,,,
A001245,,,,,,,
A001246,,,,,,,
A001247,,,,,,,
A001248,,,,,,,
A001249,,,,,,,
A001250,,,,,,,
A001251,,,,,,,
A001252,,,,,,,
A001253,,,,,,,
A001254,,,,,,,
A001255,,,,,,,
A001256,,,,,,,
A001257,,,,,,,
A001258,,,,,,,
A001259,,,,,,,
A001260,,,,,,,
A001261,,,,,,,
A001262,,,,,,,
A001263,,,,,,,
A001264,,,,,,,
A001265,,,,,,,
A001266,,,,,,,
A001267,,,,,,,
A001268,,,,,,,
A001269,,,,,,,
A001270,,,,,,,
A001271,,,,,,,
A001272,,,,,,,
A001273,,,,,,,
A001274,,,,,,,
A001275,,,,,,,
A001276,,,,,,,
A001277,,,,,,,
A001278,,,,,,,
A001279,,,,,,,
A001280,,,,,,,
A001281,,,,,,,
A001282,,,,,,,
A001283,,,,,,,
A001284,,,,,,,
A001285,,,,,,,
A001286,,,,,,,
A001287,,,,,,,
A001288,,,,,,,
A001289,,,,,,,
A001290,,,,,,,
A001291,,,,,,,
A001292,,,,,,,
A001293,,,,,,,
A001294,,,,,,,
A001295,,,,,,,
A001296,,,,,,,
A001297,,,,,,,
A001298,,,,,,,
A001299,,,,,,,
A001300,,,,,,,
A001301,,,,,,,
A001302,,,,,,,
A001303,,,,,,,
A001304,,,,,,,
A001305,,,,,,,
A001306,,,,,,,
A001307,,,,,,,
A001308,,,,,,,
A001309,,,,,,,
A001310,,,,,,,
A001311,,,,,,,
A001312,,,,,,,
A001313,,,,,,,
A001314,,,,,,,
A001315,,,,,,,
A001316,,,,,,,
A001317,,,,,,,
A001318,,,,,,,
A001319,,,,,,,
A001320,,,,,,,
A001321,,,,,,,
A001322,,,,,,,
A001323,,,,,,,
A001324,,,,,,,
A001325,,,,,,,
A001326,,,,,,,
A001327,,,,,,,
A001328,,,,,,,
A001329,,,,,,,
A001330,,,,,,,
A001331,,,,,,,
A001332,,,,,,,
A001333,,,,,,,
A001334,,,,,,,
A001335,,,,,,,
A001336,,,,,,,
A001337,,,,,,,
A001338,,,,,,,
A001339,,,,,,,
A001340,,,,,,,
A001341,,,,,,,
A001342,,,,,,,
A001343,,,,,,,
A001344,,,,,,,
A001345,,,,,,,
A001346,,,,,,,
A001347,,,,,,,
A001348,,,,,,,
A001349,,,,,,,
A001350,,,,,,,
A001351,,,,,,,
A001352,,,,,,,
A001353,,,,,,,
A001354,,,,,,,
A001355,,,,,,,
A001356,,,,,,,
A001357,,,,,,,
A001358,,,,,,,
A001359,,,,,,,
A001360,,,,,,,
A001361,,,,,,,
A001362,,,,,,,
A001363,,,,,,,
A001364,,,,,,,
A001365,,,,,,,
A001366,,,,,,,
A001367,,,,,,,
A001368,,,,,,,
A001369,,,,,,,
A001370,,,,,,,
A001371,,,,,,,
A001372,,,,,,,
A001373,,,,,,,
A001374,,,,,,,
A001375,,,,,,,
A001376,,,,,,,
A001377,,,,,,,
A001378,,,,,,,
A001379,,,,,,,
A001380,,,,,,,
A001381,,,,,,,
A001382,,,,,,,
A001383,,,,,,,
A001384,,,,,,,
A001385,,,,,,,
A001386,,,,,,,
A001387,,,,,,,
A001388,,,,,,,
A001389,,,,,,,
A001390,,,,,,,
A001391,,,,,,,
A001392,,,,,,,
A001393,,,,,,,
A001394,,,,,,,
A001395,,,,,,,
A001396,,,,,,,
A001397,,,,,,,
A001398,,,,,,,
A001399,,,,,,,
A001400,,,,,,,
A001401,,,,,,,
A001402,,,,,,,
A001403,,,,,,,
A001404,,,,,,,
A001405,,,,,,,
A001406,,,,,,,
A001407,,,,,,,
A001408,,,,,,,
A001409,,,,,,,
A001410,,,,,,,
A001411,,,,,,,
A001412,,,,,,,
A001413,,,,,,,
A001414,,,,,,,
A001415,,,,,,,
A001416,,,,,,,
A001417,,,,,,,
A001418,,,,,,,
A001419,,,,,,,
A001420,,,,,,,
A001421,,,,,,,
A001422,,,,,,,
A001423,,,,,,,
A001424,,,,,,,
A001425,,,,,,,
A001426,,,,,,,
A001427,,,,,,,
A001428,,,,,,,
A001429,,,,,,,
A001430,,,,,,,
A001431,,,,,,,
A001432,,,,,,,
A001433,,,,,,,
A001434,,,,,,,
A001435,,,,,,,
A001436,,,,,,,
A001437,,,,,,,
A001438,,,,,,,
A001439,,,,,,,
A001440,,,,,,,
A001441,,,,,,,
A001442,,,,,,,
A001443,,,,,,,
A001444,,,,,,,
A001445,,,,,,,
A001446,,,,,,,
A001447,,,,,,,
A001448,,,,,,,
A001449,,,,,,,
A001450,,,,,,,
A001451,,,,,,,
A001452,,,,,,,
A001453,,,,,,,
A001454,,,,,,,
A001455,,,,,,,
A001456,,,,,,,
A001457,,,,,,,
A001458,,,,,,,
A001459,,,,,,,
A001460,,,,,,,
A001461,,,,,,,
A001462,,,,,,,
A001463,,,,,,,
A001464,,,,,,,
A001465,,,,,,,
A001466,,,,,,,
A001467,,,,,,,
A001468,,,,,,,
A001469,,,,,,,
A001470,,,,,,,
A001471,,,,,,,
A001472,,,,,,,
A001473,,,,,,,
A001474,,,,,,,
A001475,,,,,,,
A001476,,,,,,,
A001477,,,,,,,
A001478,,,,,,,
A001479,,,,,,,
A001480,,,,,,,
A001481,,,,,,,
A001482,,,,,,,
A001483,,,,,,,
A001484,,,,,,,
A001485,,,,,,,
A001486,,,,,,,
A001487,,,,,,,
A001488,,,,,,,
A001489,,,,,,,
A001490,,,,,,,
A001491,,,,,,,
K001547,,,,,,,
K001548,,,,,,,
TN000001,,,,,,,
TN000002,,,,,,,
TN000003,,,,,,,
TN000004,,,,,,,
TN000005,,,,,,,
TN000006,,,,,,,
TN000007,,,,,,,
TN000008,,,,,,,
TN000009,,,,,,,
TN000010,,,,,,,
TN000011,,,,,,,
TN000012,,,,,,,
TN000013,,,,,,,
TN000014,,,,,,,
TN000015,,,,,,,
TN000016,,,,,,,
TN000017,,,,,,,
TN000027,,,,,,,
TN000038,,,,,,,
TN000039,,,,,,,
TN000040,,,,,,,
TN000041,,,,,,,
TN000042,,,,,,,
TN000044,,,,,,,
TN000045,,,,,,,
TN000046,,,,,,,
TN000047,,,,,,,
TN000048,,,,,,,
TN000049,,,,,,,
TN000050,,,,,,,
TN000051,,,,,,,
TN000052,,,,,,,
TN000053,,,,,,,
TN000054,,,,,,,
TN000055,,,,,,,
TN000056,,,,,,,
TN000057,,,,,,,
TN000058,,,,,,,
TN000059,,,,,,,
TN000060,,,,,,,
TN000061,,,,,,,
TN000062,,,,,,,
TN000063,,,,,,,
TN000064,,,,,,,
TN000065,,,,,,,
TN000066,,,,,,,
TN000067,,,,,,,
TN000068,,,,,,,
TN000069,,,,,,,
TN000070,,,,,,,
TN000071,,,,,,,
TN000072,,,,,,,
TN000073,,,,,,,
